,created,user_location,tweet_text,username,all_hashtags,refine_text,text_length
12,11/9/2020 4:45,NA,"b'Head to head in last 5 games, Mumbai leads 4-1  MI vs DC Dream11 predictions: https://t.co/VHO3J9cBni  #Cricket #FantasyCricket #Dream11IPL #Dream11 #Dream11Team #Dream11Tips #Dream11IPLMIvDC #MIvDC #MIvsDC #MumbaiIndians #DelhiCapitals #IPL2020 #IPL2020Final #FantasyTeams'",b'ReadScoops',"['Cricket', 'FantasyCricket', 'Dream11IPL', 'Dream11', 'Dream11Team', 'Dream11Tips', 'Dream11IPLMIvDC', 'MIvDC', 'MIvsDC', 'MumbaiIndians', 'DelhiCapitals', 'IPL2020', 'IPL2020Final', 'FantasyTeams']",head head last game mumbai lead mi v dc dream prediction,13
13,11/9/2020 4:44,NA,b'IPL Final 2020: Delhi Capitals coach Ricky Ponting thrilled as team maiden title clash https://t.co/UEddrO0wPY #ipl2020 #delhicapitals #rickyponting #shreyasiyer #cricket #ipl #kagisorabada #marcusstoinis #mumbaiindians',b'mykhelcom',"['ipl2020', 'delhicapitals', 'rickyponting', 'shreyasiyer', 'cricket', 'ipl', 'kagisorabada', 'marcusstoinis', 'mumbaiindians']",delhi capital coach ricky ponting thrilled team maiden title clash,13
14,11/9/2020 4:44,Wherever Superkings Play,b'@YUVSTRONG12 poked fun at @yuzi_chahal for RCB getting knocked out of the #IPL2020.  @RCBTweets @IPL @BCCI @imVkohli #IPLinUAE #IPL2020final  #Crictoday #CricketToday #CricketTodayMagazine  https://t.co/RK7xOrWoBu',b'crictoday',"['IPL2020', 'IPLinUAE', 'IPL2020final', 'Crictoday', 'CricketToday', 'CricketTodayMagazine']",poked fun rcb getting knocked,10
15,11/9/2020 4:43,India,b'Weldon DC @SDhawan25 #IPL2020 https://t.co/NYfxUvgj6c',b'chetans1987',['IPL2020'],weldon dc,2
16,11/9/2020 4:43,"Vellore, India",b'Even though #csk did not qualified but the craze for  @msdhoni  is overwhelming \xf0\x9f\x92\x9b\xf0\x9f\x94\xa5 The most exciting player of ipl 2020:#MSDhoni @msdhoni  #csk #IPL2020 #ThalaDhoni A strong comeback is expected \xf0\x9f\x94\xa5\xf0\x9f\x98\x8e #ipl2021 https://t.co/V3PMAPhgMg',b'MRPDK_07',"['csk', 'MSDhoni', 'csk', 'IPL2020', 'ThalaDhoni', 'ipl2021']",even though qualified craze overwhelming xfxfxxbxfxfxxa exciting player strong comeback expected xfxfxxaxfxfxxe,24
17,11/9/2020 4:43,Vizag,b'I hope Delhi Wins. #IPL2020',b'praasaadd',['IPL2020'],hope delhi win,4
18,11/9/2020 4:42,Asia,"b'Well done Team #DelhiCapitals for making it to the first-ever #IPL2020 final, well deserved! @KagisoRabada25 @MStoinis @SDhawan25 and captain @ShreyasIyer15 deserve credit for this win tonight #DCvSRH  Many congrats... And beat wishes for the final #Dream_Final #MIvDC'",b'vijay_tiwari1',"['DelhiCapitals', 'IPL2020', 'DCvSRH', 'Dream_Final', 'MIvDC']",well done team making firstever well deserved captain deserve credit win tonight many congrats beat wish,28
19,11/9/2020 4:42,GOC,b'If #mi beat #DelhiCapitals in finals of #IPL2020 they will equal the record of #CSK to defeat a same team four times in same season. #CSK defeated #SRH four times in #ipl2018.   @DelhiCapitals @mipaltan @IPL @cricbuzz',b'sandeepdbhat',"['mi', 'DelhiCapitals', 'IPL2020', 'CSK', 'CSK', 'SRH', 'ipl2018']",beat final equal record defeat team four time season defeated four time,25
20,11/9/2020 4:42,"Chennai, India",b'Feeling sad??  Just think about #KaneWilliamson IND U-19 vs NZ U-19 Runners up AUS vs NZ 2015 WC finals- Runners up CSK vs SRH 2018 #IPL final- Runners up ENG vs NZ 2019 WC finals- Runners up DC vs SRH 2020 IPL semi final- Eliminated.\xf0\x9f\x92\x94 #Cricket #SRH #IPL2020 #IPLfinal #respect',b'imankitmishraa',"['KaneWilliamson', 'IPL', 'Cricket', 'SRH', 'IPL2020', 'IPLfinal', 'respect']",feeling sad think ind v nz runner au v nz wc final runner csk v srh runner eng v nz wc final runner dc v srh semi eliminatedxfxfxx,39
21,11/9/2020 4:42,💙,b'@KaizerChiefs &amp;  @orlandopirates now this jus made my morning \xf0\x9f\x98\x82\xf0\x9f\x98\x85\xf0\x9f\xa4\x9e 2pac of Soccer #FIFA21 #KaizerChiefs #OrlandoPirates #ChampionsLeague #dcfc #GNTAND #GOT7_BreathofLove_LastPiece #IPL2020 #Iqbal #Khosi4Life #kasiangempi #leadership https://t.co/QuaPtjG2Rj',b'FMenwana',"['FIFA21', 'KaizerChiefs', 'OrlandoPirates', 'ChampionsLeague', 'dcfc', 'GNTAND', 'GOT7_BreathofLove_LastPiece', 'IPL2020', 'Iqbal', 'Khosi4Life', 'kasiangempi', 'leadership']",jus made morning xfxfxxxfxfxxxfxfxaxe pac soccer,11
22,11/9/2020 4:41,"Chennai, India",b'We all missed him in #IPL2020 .\xf0\x9f\x98\x94 https://t.co/9LfTiqVKlA',b'Ritesh_7l',['IPL2020'],missed,6
23,11/9/2020 4:41,Piliippatti,b'Team of the tournament by Tom Moddy @IPL #IPL2020   \xf0\x9f\x91\x89Ishan Kishan makes to the team   1. S Dhawan - DC 2. KL Rahul - KXIP 3. S Yadav - MI 4. ABD* - RCB 5. I Kishan - MI 6. R Tewatia - RR 7. R Khan* - SRH 8. J Archer* - RR 9. K Rabada* - DC 10. Y Chahal - RCB 11. J Bumrah - MI',b'Ishan_kishanFan',['IPL2020'],team tournament tom moddy xfxfxxishan kishan make team dhawan dc kl rahul kxip yadav mi abd rcb kishan mi tewatia rr khan srh archer rr k rabada dc chahal rcb bumrah mi,45
